"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"1",227,"Alum Bank","15521",24,-1,0,NA,NA,NA
"2",228,"Bedford","15522",110,-1,0,NA,NA,NA
"3",229,"Berlin","15530",79,-1,-1,NA,NA,NA
"4",230,"Boswell","15531",56,0,0,NA,NA,NA
"5",231,"Breezewood","15533",14,0,0,NA,NA,NA
"6",232,"Buffalo Mills","15534",-1,0,0,NA,NA,NA
"7",233,"Clearville","15535",19,0,0,NA,NA,NA
"8",234,"Crystal Spring","15536",8,-1,0,NA,NA,NA
"9",235,"Everett","15537",86,-1,0,NA,NA,NA
"10",236,"Fairhope","15538",10,0,0,NA,NA,NA
"11",237,"Fishertown","15539",6,0,0,NA,NA,NA
"12",239,"Friedens","15541",51,-1,0,NA,NA,NA
"13",240,"Garrett","15542",17,0,0,NA,NA,NA
"14",241,"Hyndman","15545",11,-1,0,NA,NA,NA
"15",242,"Jenners","15546",7,0,0,NA,NA,NA
"16",243,"Manns Choice","15550",19,0,0,NA,NA,NA
"17",245,"Meyersdale","15552",93,-1,-1,NA,NA,NA
"18",246,"New Paris","15554",25,-1,-1,NA,NA,NA
"19",247,"Quecreek","15555",0,0,0,NA,NA,NA
"20",249,"Salisbury","15558",17,0,0,NA,NA,NA
"21",250,"Schellsburg","15559",17,-1,0,NA,NA,NA
"22",251,"Springs","15562",-1,0,0,NA,NA,NA
"23",252,"Stoystown","15563",35,-1,-1,NA,NA,NA
"24",253,"Wellersburg","15564",-1,0,0,NA,NA,NA
"25",309,"Indiana","15705",-1,0,0,NA,NA,NA
"26",310,"Anita","15711",-1,0,0,NA,NA,NA
"27",312,"Northern Cambria","15714",108,0,0,NA,NA,NA
"28",313,"Black Lick","15716",-1,-1,0,NA,NA,NA
"29",315,"Brush Valley","15720",0,0,0,NA,NA,NA
"30",316,"Burnside","15721",-1,0,0,NA,NA,NA
"31",317,"Carrolltown","15722",30,0,0,NA,NA,NA
"32",318,"Cherry Tree","15724",23,-1,0,NA,NA,NA
"33",320,"Clymer","15728",13,0,0,NA,NA,NA
"34",321,"Commodore","15729",6,0,0,NA,NA,NA
"35",322,"Coolspring","15730",0,0,0,NA,NA,NA
"36",324,"Ernest","15739",0,0,0,NA,NA,NA
"37",325,"Glen Campbell","15742",-1,-1,0,NA,NA,NA
"38",326,"Hamilton","15744",0,0,0,NA,NA,NA
"39",329,"Josephine","15750",-1,-1,0,NA,NA,NA
"40",330,"La Jose","15753",-1,0,0,NA,NA,NA
"41",331,"Mahaffey","15757",-1,0,0,NA,NA,NA
"42",332,"Marchand","15758",0,0,0,NA,NA,NA
"43",333,"Marion Center","15759",10,-1,0,NA,NA,NA
"44",334,"Marsteller","15760",-1,-1,0,NA,NA,NA
"45",335,"Nicktown","15762",17,0,0,NA,NA,NA
"46",336,"Northpoint","15763",0,0,0,NA,NA,NA
"47",337,"Oliveburg","15764",-1,0,0,NA,NA,NA
"48",338,"Penn Run","15765",6,-1,0,NA,NA,NA
"49",339,"Punxsutawney","15767",102,-1,0,NA,NA,NA
"50",340,"Ringgold","15770",-1,0,0,NA,NA,NA
"51",341,"Rochester Mills","15771",-1,-1,0,NA,NA,NA
"52",342,"Rossiter","15772",11,-1,-1,NA,NA,NA
"53",343,"Saint Benedict","15773",-1,0,0,NA,NA,NA
"54",345,"Spangler","15775",0,0,0,NA,NA,NA
"55",346,"Sprankle Mills","15776",-1,0,0,NA,NA,NA
"56",347,"Starford","15777",-1,0,0,NA,NA,NA
"57",348,"Timblin","15778",-1,0,0,NA,NA,NA
"58",349,"Valier","15780",-1,0,0,NA,NA,NA
"59",350,"Worthville","15784",-1,0,0,NA,NA,NA
"60",351,"Du Bois","15801",189,-1,-1,NA,NA,NA
"61",352,"Benezett","15821",-1,0,0,NA,NA,NA
"62",353,"Brockport","15823",9,0,0,NA,NA,NA
"63",354,"Brockway","15824",39,0,0,NA,NA,NA
"64",355,"Brookville","15825",114,-1,0,NA,NA,NA
"65",356,"Byrnedale","15827",-1,0,0,NA,NA,NA
"66",357,"Clarington","15828",-1,-1,0,NA,NA,NA
"67",358,"Corsica","15829",16,0,0,NA,NA,NA
"68",359,"Driftwood","15832",6,0,0,NA,NA,NA
"69",360,"Emporium","15834",82,-1,0,NA,NA,NA
"70",361,"Falls Creek","15840",19,0,0,NA,NA,NA
"71",362,"Johnsonburg","15845",24,0,0,NA,NA,NA
"72",363,"Kersey","15846",22,-1,0,NA,NA,NA
"73",364,"Luthersburg","15848",9,0,0,NA,NA,NA
"74",365,"Penfield","15849",8,0,0,NA,NA,NA
"75",366,"Reynoldsville","15851",53,-1,-1,NA,NA,NA
"76",367,"Ridgway","15853",72,-1,-1,NA,NA,NA
"77",368,"Rockton","15856",5,-1,0,NA,NA,NA
"78",369,"Saint Marys","15857",86,-1,-1,NA,NA,NA
"79",370,"Sigel","15860",11,0,0,NA,NA,NA
"80",371,"Sinnamahoning","15861",-1,0,0,NA,NA,NA
"81",372,"Summerville","15864",25,-1,0,NA,NA,NA
"82",373,"Sykesville","15865",12,0,0,NA,NA,NA
"83",374,"Troutville","15866",-1,0,0,NA,NA,NA
"84",375,"Weedville","15868",12,0,0,NA,NA,NA
"85",376,"Wilcox","15870",6,0,0,NA,NA,NA
"86",377,"Johnstown","15901",117,-1,0,NA,NA,NA
"87",378,"Johnstown","15902",290,-1,-1,NA,NA,NA
"88",379,"Johnstown","15904",320,-1,-1,NA,NA,NA
"89",380,"Johnstown","15905",417,-1,-1,NA,NA,NA
"90",381,"Johnstown","15906",227,-1,-1,NA,NA,NA
"91",382,"Johnstown","15909",96,-1,0,NA,NA,NA
"92",383,"Armagh","15920",17,-1,0,NA,NA,NA
"93",385,"Cairnbrook","15924",23,-1,0,NA,NA,NA
"94",386,"Central City","15926",50,-1,0,NA,NA,NA
"95",387,"Colver","15927",16,-1,-1,NA,NA,NA
"96",388,"Davidsville","15928",33,0,0,NA,NA,NA
"97",389,"Ebensburg","15931",166,-1,0,NA,NA,NA
"98",390,"Elton","15934",6,-1,0,NA,NA,NA
"99",391,"Hollsopple","15935",47,0,-1,NA,NA,NA
"100",392,"Hooversville","15936",19,0,0,NA,NA,NA
"101",393,"Lilly","15938",48,0,-1,NA,NA,NA
"102",394,"Loretto","15940",18,0,0,NA,NA,NA
"103",395,"Mineral Point","15942",32,-1,0,NA,NA,NA
"104",396,"Nanty Glo","15943",88,-1,0,NA,NA,NA
"105",397,"New Florence","15944",51,-1,0,NA,NA,NA
"106",398,"Parkhill","15945",-1,0,0,NA,NA,NA
"107",399,"Portage","15946",126,-1,-1,NA,NA,NA
"108",400,"Robinson","15949",5,0,0,NA,NA,NA
"109",401,"Saint Michael","15951",16,-1,0,NA,NA,NA
"110",402,"Salix","15952",23,0,0,NA,NA,NA
"111",403,"Seanor","15953",0,0,0,NA,NA,NA
"112",404,"Seward","15954",36,-1,0,NA,NA,NA
"113",405,"Sidman","15955",30,0,0,NA,NA,NA
"114",406,"South Fork","15956",46,0,0,NA,NA,NA
"115",407,"Strongstown","15957",5,0,0,NA,NA,NA
"116",408,"Summerhill","15958",25,-1,0,NA,NA,NA
"117",409,"Twin Rocks","15960",13,0,0,NA,NA,NA
"118",410,"Vintondale","15961",23,0,0,NA,NA,NA
"119",411,"Windber","15963",221,0,0,NA,NA,NA
"120",414,"Boyers","16020",12,0,0,NA,NA,NA
"121",415,"Bruin","16022",6,0,0,NA,NA,NA
"122",417,"Chicora","16025",77,-1,0,NA,NA,NA
"123",419,"East Brady","16028",21,0,0,NA,NA,NA
"124",420,"Eau Claire","16030",-1,0,0,NA,NA,NA
"125",423,"Foxburg","16036",0,0,0,NA,NA,NA
"126",425,"Harrisville","16038",34,-1,0,NA,NA,NA
"127",426,"Hilliards","16040",7,0,0,NA,NA,NA
"128",427,"Karns City","16041",23,-1,0,NA,NA,NA
"129",430,"Parker","16049",24,11,0,NA,NA,NA
"130",431,"Petrolia","16050",18,0,0,NA,NA,NA
"131",432,"Portersville","16051",31,-1,0,NA,NA,NA
"132",437,"Slippery Rock","16057",120,6,-1,NA,NA,NA
"133",439,"West Sunbury","16061",44,-1,-1,NA,NA,NA
"134",442,"New Castle","16101",382,24,0,NA,NA,NA
"135",443,"New Castle","16102",56,-1,-1,NA,NA,NA
"136",444,"New Castle","16105",163,13,0,NA,NA,NA
"137",445,"Adamsville","16110",-1,0,0,NA,NA,NA
"138",446,"Atlantic","16111",7,0,0,NA,NA,NA
"139",447,"Bessemer","16112",16,-1,0,NA,NA,NA
"140",448,"Clarks Mills","16114",-1,0,0,NA,NA,NA
"141",450,"Edinburg","16116",29,-1,-1,NA,NA,NA
"142",453,"Farrell","16121",54,23,-1,NA,NA,NA
"143",455,"Fredonia","16124",7,-1,0,NA,NA,NA
"144",456,"Greenville","16125",261,-1,0,NA,NA,NA
"145",457,"Grove City","16127",65,9,-1,NA,NA,NA
"146",458,"Hadley","16130",14,0,0,NA,NA,NA
"147",459,"Hartstown","16131",-1,-1,0,NA,NA,NA
"148",460,"Jackson Center","16133",9,-1,0,NA,NA,NA
"149",461,"Jamestown","16134",27,0,0,NA,NA,NA
"150",463,"Mercer","16137",100,8,-1,NA,NA,NA
"151",465,"New Wilmington","16142",105,-1,0,NA,NA,NA
"152",466,"Pulaski","16143",23,-1,0,NA,NA,NA
"153",467,"Sandy Lake","16145",15,0,0,NA,NA,NA
"154",468,"Sharon","16146",101,19,-1,NA,NA,NA
"155",469,"Hermitage","16148",139,12,-1,NA,NA,NA
"156",470,"Sharpsville","16150",60,5,0,NA,NA,NA
"157",471,"Stoneboro","16153",10,0,0,NA,NA,NA
"158",472,"Transfer","16154",19,0,0,NA,NA,NA
"159",473,"Volant","16156",19,-1,0,NA,NA,NA
"160",475,"West Middlesex","16159",42,-1,0,NA,NA,NA
"161",476,"New Wilmington","16172",0,0,0,NA,NA,NA
"162",480,"Callensburg","16213",0,0,0,NA,NA,NA
"163",481,"Clarion","16214",70,-1,0,NA,NA,NA
"164",482,"Cooksburg","16217",-1,0,0,NA,NA,NA
"165",483,"Cowansville","16218",14,-1,0,NA,NA,NA
"166",485,"Fairmount City","16224",11,0,0,NA,NA,NA
"167",486,"Fisher","16225",0,0,0,NA,NA,NA
"168",490,"Knox","16232",41,-1,0,NA,NA,NA
"169",491,"Leeper","16233",7,-1,0,NA,NA,NA
